Date,Time,Event,Organizer,Registration,,,,,,,
"25th February, Tuesday",12:00pm-8:00pm,Agents Day - AI x Web3 | Denver 2025,Epic Web3,https://lu.ma/agentsday,,,,,,,
"25th February, Tuesday",12:15pm-12:35pm,State of ZK + Bitcoin,,https://lu.ma/n27sxo4k,,,,,,,
"25th February, Tuesday",12:30pm-6:30pm,Virtuals Demo Day by Agentstarter | ETH Denver,Agentstarter and Virtuals Prc,https://lu.ma/tmhnzz6u,,,,,,,
"25th February, Tuesday",12:30pm-7:00pm,BNB Incubation Alliance - Denver,BNB,https://lu.ma/60i1t28x,,,,,,,
"25th February, Tuesday",1:00pm-4:00pm,"Founders, VCs & More Brunch at ETH Denver 2025",Treta Labs,https://lu.ma/d1fvdi0c,,,,,,,
"25th February, Tuesday",1:00pm-8:00pm,Story House,Story,https://lu.ma/storyhousedenve,,,,,,,
"25th February, Tuesday",2:00pm-3:00pm,Who Controls the Fate of Ethereum?,,https://lu.ma/71m4q38q,,,,,,,
"25th February, Tuesday",2:00pm-6:00pm,ETHGas | ETHDenver 2025,ETHGAS and BlueYard Cap,https://lu.ma/ETHGasDenver,,,,,,,
"25th February, Tuesday",3:00pm-6:00pm,Snowcap Durian - The Hyperdurianization is Inevitable!,"Durian2069, Spacecoin.xyz",https://lu.ma/r9c9yk8w,,,,,,,
"25th February, Tuesday",3:15pm-3:35pm,How the team that built Mina will solve Web3's state management problem,o1Labs and =nil; Foundation,https://lu.ma/rk7ki3th,,,,,,,
"25th February, Tuesday",4:00pm-8:00pm,Orchestration Lounge ETHDenver,Agoric,https://lu.ma/orchestration-den,,,,,,,
"25th February, Tuesday",4:30pm-6:00pm,NEAR & Delphi Digital Happy Hour!,NEAR Protocol,https://lu.ma/tb9x0zaa,,,,,,,
"25th February, Tuesday",5:00pm-8:00pm,DeAI + Wine + Cheese,OORT,https://lu.ma/n60z9r9i,,,,,,,
"25th February, Tuesday",5:00pm-9:00pm,Safe Guardians Gather,Safe Events,https://lu.ma/sbdeidzh,,,,,,,
"25th February, Tuesday",5:00pm-9:00pm,Your Agent Ate My Pizza!,Safe,https://lu.ma/9oqrbs6s,,,,,,,
"25th February, Tuesday",5:30pm-10:00pm,Web3 is a Joke presents Crypto Roast Comedy Night At EthDenver!,Web3isajoke and Sui Comm,https://lu.ma/5voppmr7,,,,,,,
"25th February, Tuesday",6:00pm-8:30pm,ETHGlobal Happy Hour Denver,ETHGlobal,https://lu.ma/ethglobal-happy,,,,,,,
"25th February, Tuesday",6:00pm-8:30pm,"Aon, IMS, Lemma and BACI Reception at ETH Denver",Blockchain Association,https://lu.ma/tt204iyv,,,,,,,
"25th February, Tuesday",6:00pm-8:30pm,Gensyn Mixer @ ETHDenver,Gensyn,https://lu.ma/zOv7px3q,,,,,,,
"25th February, Tuesday",6:00pm-9:00pm,"Tap in: With Movement, Ottersec, and Friends","Movement, OtterSec and Ec",https://lu.ma/tapin,,,,,,,
"25th February, Tuesday",6:00pm-10:00pm,Starknet Denver Hacker House Demo night,Starknet Events,https://lu.ma/SNDenverDemo,,,,,,,
"25th February, Tuesday",6:00pm-10:00pm,OnlyDust: Ecosystem Growth & DevRel VIP dinner,OnlyDust,https://lu.ma/o83uomet,,,,,,,
"25th February, Tuesday",6:00pm-10:00pm,Nibiru Unchained: Uncorking the EVM at ETH Denver 2025,Nibiru Chain,https://lu.ma/0cfqdu1r,,,,,,,
"25th February, Tuesday",6:00pm-10:00pm,ResearchHub Presents: The Roast of DeSci,Syde Events,https://lu.ma/the-roast-of-desc,,,,,,,
"25th February, Tuesday",6:00pm-10:30pm,BitVM Night Denver,BOB,https://lu.ma/i7281vd,,,,,,,
"25th February, Tuesday",7:00pm-10:00pm,Age of the Agents // ETH Denver,DeAI,https://lu.ma/kaa7dm19,,,,,,,
"25th February, Tuesday",7:00pm-10:00pm,Social Capital by Mantle,Mantle,https://lu.ma/bo36sbkt,,,,,,,
"25th February, Tuesday",7:00pm-10:30pm,The Liquidity Games @ EthDenver,Liquidity.Land and FrensDA,https://lu.ma/f1gwnlz6,,,,,,,
"25th February, Tuesday",7:00pm-11:00pm,STELLAR AFTER DARK: GAME NIGHT at the Denver Aquarium,Stellar Development Foundation,https://lu.ma/stellar.gamenight,,,,,,,
"25th February, Tuesday",9:00pm-1:00am,The H-Bar: HederaCon After Party,Hedera and Developer DAO,https://lu.ma/sj923vbn,,,,,,,
"25th February, Tuesday",9:00pm-11:30pm,Zerion x Jokerace Karaoke Night,Zerion and JokerRace,https://lu.ma/psdzjtx3,,,,,,,
"25th February, Tuesday",10:00pm-1:00am,The Best Event at ETH Denver,"TBV, Petastic, Fideum, Zekr",https://lu.ma/TBE.ETHDEN25,,,,,,,
"26th February, Wednesday",7:50am-10:00am,"8 AM Sweat + Snooze w/ Nillion, EigenLayer and Mensana Fitness","Nillion, EigenLayer and Mensana Fitness",https://lu.ma/835fmcka,,,,,,,
"26th February, Wednesday",8:00am-10:00am,BREAKFAST AT THE OORT HACKER HOUSE,Jimmy Nagles and Maya Krz,https://lu.ma/53jkjimx,,,,,,,
"26th February, Wednesday",8:00am-12:00pm,Applied AI x Crypto Builders @ETHDenver,RPS AI,https://lu.ma/h2y6rnj1,,,,,,,
"26th February, Wednesday",8:00am-2:00pm,zk&coffee,Sindri and Google Cloud,https://lu.ma/ajkktide,,,,,,,
"26th February, Wednesday",8:00am-6:00pm,De.Fi WORLD 2025,DeFi,https://lu.ma/ea5p0roz,,,,,,,
"26th February, Wednesday",8:15am-10:35am,Energize and Innovate: Morning Workout with Theory Ventures and Disper,Theory Ventures and Disper,https://lu.ma/fodjl55j,,,,,,,
"26th February, Wednesday",8:30am-11:30am,Decentralized Media Summit,ACJR,https://lu.ma/i9gatw59,,,,,,,
"26th February, Wednesday",9:00am-11:00am,Crypto Monetization for Content Creators,Mike Sailor and ni¢k,https://lu.ma/i7grtxbq,,,,,,,
"26th February, Wednesday",9:00am-11:00am,Web3 Marketers Mastermind,Mike Sailor and ni¢k,https://lu.ma/piv4ctyj,,,,,,,
"26th February, Wednesday",9:00am-12:00pm,{ok} builders day | ETHDenver 2025,OKcontract Builders,https://lu.ma/pcwjy205,,,,,,,
"26th February, Wednesday",9:00am-12:00pm,"(For VCs) Founders & VC's Brunch hosted by DFG, Jsquare, and NEAR","DFG, Jsquare, and NEAR",https://lu.ma/jnh53w6u,,,,,,,
"26th February, Wednesday",9:00am-4:30pm,InnovateDenver,The Tie,https://www.innovate.thetie.io/,,,,,,,
"26th February, Wednesday",9:00am-5:00pm,DAO Day of Fun,Metagov and DAOstar,https://lu.ma/0zpf7wah,,,,,,,
"26th February, Wednesday",9:00am-5:00pm,Preconference @ ETHDenver 2025,Primev,https://lu.ma/makingethereumt,,,,,,,
"26th February, Wednesday",9:00am-6:00pm,Solana Ecosystem Summit @ ETH Denver,CrunchDAO,https://lu.ma/mhpreh2z,,,,,,,
"26th February, Wednesday",9:00am-7:00pm,Stable Summit II: Denver,Stake Capital Group,https://www.stablesummit.xyz/,,,,,,,
"26th February, Wednesday",9:00am-8:00pm,Super Agent Hackathon,Story and Zerebro,https://lu.ma/superagenthacka,,,,,,,
"26th February, Wednesday",9:30am-6:30pm,Defi Basecamp,Interop Ventures and DeFi D,https://lu.ma/o7m84b4w,,,,,,,
"26th February, Wednesday",9:30am-12:00pm,Breakfast Club at the AlgoRanch,Algorand Foundation,https://lu.ma/m7gu3dap,,,,,,,
"26th February, Wednesday",10:00am-10:20am,Pipelined Proving: Practical ZK proofs for Applications,,https://lu.ma/gyvnwp2i,,,,,,,
"26th February, Wednesday",10:00am-1:00pm,The Kernel Brunch Club,Divyushii Sinha,https://lu.ma/hxr3tlli,,,,,,,
"26th February, Wednesday",10:00am-1:00pm,Protocol Cup,"Arbitrum, Injective, Movement",https://lu.ma/protocolcup,,,,,,,
"26th February, Wednesday",10:00am-3:45pm,"Rocks, Talks, and Fast Blocks: Unichain climbing experience @ ETHDenver",Uniswap,https://lu.ma/wtkj7thx,,,,,,,
"26th February, Wednesday",10:00am-6:00pm,Safary Summit @ by Hype & Trust Wallet,"Safary, Hype and Trust Wallet",https://lu.ma/safarysummit,,,,,,,
"26th February, Wednesday",10:00am-6:00pm,WalletCon Denver 2025,Reown and WalletConnect,https://lu.ma/walletcondenver,,,,,,,
"26th February, Wednesday",10:00am-6:00pm,Open AGI Summit EthDenver,"AWS, Eigenlayer and Sentie",https://lu.ma/asjsb6k7,,,,,,,
"26th February, Wednesday",10:00am-6:00pm,Aavegotchi Game Night,Reddy Builders,https://lu.ma/fgp7sime,,,,,,,
"26th February, Wednesday",10:00am-7:00pm,SheFi Summit Denver,shefi.eth,https://lu.ma/0xsf7b0j,,,,,,,
"26th February, Wednesday",10:00am-7:00pm,DePIN Day Denver 2025,Fluence,https://lu.ma/depin-denver,,,,,,,
"26th February, Wednesday",10:00am-2:00am,"BEMO RAVE With Berachain, Movement & Lombard","Berachain Foundation, Lombard",https://lu.ma/bemo,,,,,,,
"26th February, Wednesday",10:30am-1:30pm,57Blocks ETHDenver Private Lunch: Client Appreciation and Fun,57BlocksTech,https://lu.ma/84zyt3ul,,,,,,,
"26th February, Wednesday",10:30am-2:00pm,Brunch by the Builder's Club,"The Builder's Club, Flare, M",https://lu.ma/zjtirdwv,,,,,,,
"26th February, Wednesday",10:30am-6:30pm,Multichain Day | ETHDenver 2025,Wrapped,https://lu.ma/multichaindayeth,,,,,,,
"26th February, Wednesday",10:45am-11:10am,"ZK Chains: Powering Verifiable Applications for the Private, Provable Web",,https://lu.ma/4tviqkp7,,,,,,,
"26th February, Wednesday",10:50am-1:00pm,11 AM Sweat + Snooze w/ Nillion and Mensana Fitness,Nillion and Mensana Fitness,https://lu.ma/d5w1jbmj,,,,,,,
"26th February, Wednesday",11:00am-12:30pm,Yoga Founder Flow by OFFLINE | ETHDenver,OFFLINE,https://lu.ma/founderflow,,,,,,,
"26th February, Wednesday",11:00am-5:00pm,Decentralized AI Day: Dawn of the Agents,Morpheus,https://lu.ma/d0q1zxoh,,,,,,,
"26th February, Wednesday",11:00am-5:00pm,"The Intersubjective Summit w/ Hetu, EigenLayer, Nethermind and QuarkC",Hetu Protocol,https://lu.ma/qzfwxaoj,,,,,,,
"26th February, Wednesday",11:00am-6:00pm,Modular & L2 Day | ETHDenver 2025,Epic Web3,https://lu.ma/L2DayDenver,,,,,,,
"26th February, Wednesday",11:30am-11:50am,Fast and cheap ZKPs: a practical guide to generate proofs on Firestarter,,https://lu.ma/48ut7whm,,,,,,,
"26th February, Wednesday",12:00pm-1:00pm,DEPIN x AI: R3al World ETHDenver,iotex.io,https://lu.ma/depin-ai-r3al-worl,,,,,,,
"26th February, Wednesday",12:00pm-3:00pm,D.A.R.E. - DeFi Anchors Revolutionary Economics,D.A.R.E.,https://lu.ma/unk5pw52,,,,,,,
"26th February, Wednesday",12:00pm-5:00pm,RWA Day @ ETH Denver,Syde Events,https://lu.ma/rwa-day-eth-denv,,,,,,,
"26th February, Wednesday",12:00pm-6:00pm,FOMO Factor: EP1 - Re/Staking,FOMO Factor Events,https://lu.ma/3dt9k2t3,,,,,,,
"26th February, Wednesday",4:00pm-8:00pm,Going Parabolic w/ Sprinter and Para,Para,https://lu.ma/ru8vevw3,,,,,,,
"26th February, Wednesday",4:00pm-8:00pm,Sui Presents Walrus,Sui,https://lu.ma/suipresentswalru,,,,,,,
"26th February, Wednesday",4:00pm-9:00pm,Solana Speed by OFFLINE | ETHDenver 2025,OFFLINE,https://lu.ma/solanaspeed,,,,,,,
"26th February, Wednesday",4:30pm-9:00pm,Outlier Ventures' Open House presents The Post Web | AI x Web3,Outlier Ventures,https://lu.ma/OV_OpenHouse,,,,,,,
"26th February, Wednesday",5:00pm-7:00pm,"L2 Roast @ ETHDenver by Bitcoin Layers, BOB, & Mezo","Bitcoin Layers, BOB, and Mezo",https://lu.ma/kxyphsuw,,,,,,,
"26th February, Wednesday",5:00pm-8:00pm,"AI Agents & Aperitifs with CMT Digital, Definitive, & Turnkey","CMT Digital, Definitive",https://lu.ma/ETHDenAlAgents,,,,,,,
"26th February, Wednesday",5:00pm-8:00pm,Level Up Denver: Web3 After Hours w/ SKALE & BGA,SKALE and BGA,https://lu.ma/li1bjn0x,,,,,,,
"26th February, Wednesday",5:00pm-10:00pm,Down The DeFi Rabbit Hole,"OCTAV, Safe and Beefy",https://lu.ma/pptxnrxr,,,,,,,
"26th February, Wednesday",5:00pm-11:30pm,Web3 Golf Experience,Tee Box Caddie,https://lu.ma/rqqh4two,,,,,,,
"26th February, Wednesday",6:00pm-8:00pm,Private VIP Dinner - Invite Only,499,https://lu.ma/dmx9qgibf,,,,,,,
"26th February, Wednesday",6:00pm-8:00pm,VIP REEception By Omnity,Omnity Network and Nolcha,https://lu.ma/aciuf4pd,,,,,,,
"26th February, Wednesday",6:00pm-8:30pm,MemeDAO: Crowdsourcing the Next Viral Token @ Denver,MemeDAO,https://lu.ma/959any8m,,,,,,,
"26th February, Wednesday",6:00pm-9:00pm,Aprés Bitcoin | After Party,"Stacks Foundation, BitcoinO",https://lu.ma/361pu1sd,,,,,,,
"26th February, Wednesday",6:00pm-9:00pm,Happy Hour and Darts with PayPal and Google Cloud,PayPal USD and Google Cloud,https://lu.ma/d8dpv31c,,,,,,,
"26th February, Wednesday",6:00pm-9:00pm,Pizza Castle,Unlock Protocol,https://app.unlock-protocol.cor,,,,,,,
"26th February, Wednesday",6:00pm-9:00pm,VIP SOIREE - BITCOIN RENAISSANCE,Babylon,https://lu.ma/jig0bywr,,,,,,,
"26th February, Wednesday",6:00pm-9:30pm,Mantle DeFi Meetup,1delta,https://lu.ma/m1ds92t0,,,,,,,
"26th February, Wednesday",6:00pm-10:00pm,Chippicon 2 👀 & Black Flag 🎥 DAO Social!!,Chippicon,https://www.chippicon.com/,,,,,,,
"26th February, Wednesday",6:00pm-10:00pm,DAO & Foundation Masterclass ETH Denver Meetup,The Decentralized Podcast,https://lu.ma/7acktlcl,,,,,,,
"26th February, Wednesday",6:00pm-12:00am,Symbiotic Society: Denver,Symbiotic,https://lu.ma/up3ip1bd,,,,,,,
"26th February, Wednesday",7:00pm-10:30pm,Meet Sonic Labs — Denver,Sonic Labs,https://lu.ma/eiye4wn5,,,,,,,
"26th February, Wednesday",7:00pm-11:00pm,Stellar AFTER HOURS MIXER with OpenZeppelin + Axelar at Four Seasons,Stellar Development Foundation,https://lu.ma/Stellar.mixer,,,,,,,
"26th February, Wednesday",7:30pm-10:00pm,DraperU x Draper Dragon Mixer,Aaliyah Barker,https://lu.ma/eth-draper-mixer,,,,,,,
"26th February, Wednesday",7:30pm-10:30pm,PROOF OF DRIP,"LITA, POLYGON and PENU",https://lu.ma/entt91ol,,,,,,,
"26th February, Wednesday",8:00pm-12:00am,cRACK'd DEn,"Story, Zerebro, elizaOS, Cro",https://lu.ma/crackdden,,,,,,,
"26th February, Wednesday",8:00pm-12:00am,Agentic Idol - Hosted by ZEREBRO,Story and Zerebro,https://lu.ma/agenticidol,,,,,,,
"26th February, Wednesday",8:00pm-1:00am,THE OFFICIAL ETHDENVER OPENING NIGHT PARTY,Nolcha Shows and XForge,https://lu.ma/ETHDENVEROF,,,,,,,
"26th February, Wednesday",8:30pm-1:30am,Nova Mobile App Launch Party,WebZero,https://lu.ma/8zmiejmh,,,,,,,
"27th February, Thursday",ALL DAY,ZK/AI Day,ZKLab,https://www.zklab.systems/zke,,,,,,,
"27th February, Thursday",7:30am-8:30am,Omni Run Club @ Eth Denver,Omni Network,https://lu.ma/gd59wov4,,,,,,,
"27th February, Thursday",8:00am-10:30am,Rise and Grind Coffee Hour,Conduit.xyz and Thirdweb,https://lu.ma/em6ra0i7,,,,,,,
"27th February, Thursday",8:15am-10:00am,Dominate and Collaborate: Investor ONLY Competition by CoinFund and Dispersion,CoinFund and Dispersion,https://lu.ma/ss61t7po,,,,,,,
"27th February, Thursday",9:00am-1:00pm,Event Girlies Meet-Up @ ETHDenver | Powered by Serotonin,Serotonin,https://platform.serotonin.co/e,,,,,,,
"27th February, Thursday",9:00am-1:00pm,VNTR Investor Roundtable Denver,VNTR,https://lu.ma/4wdutben,,,,,,,
"27th February, Thursday",9:00am-11:00am,EthDenver - EY x EEA: The Future of Enterprise Ethereum & DeFi,Enterprise Ethereum Alliance,https://lu.ma/ljff79t5,,,,,,,
"27th February, Thursday",9:00am-11:00am,AI Crypto Trading Mastermind,Mike Sailor and ni¢k,https://lu.ma/vy9qekxp,,,,,,,
"27th February, Thursday",9:00am-11:00am,MEMECOIN SUMMIT,Mike Sailor and ni¢k,https://lu.ma/ekclpt2q,,,,,,,
"27th February, Thursday",9:00am-4:30pm,The AlgoRanch at The Ramble,Algorand Foundation,https://lu.ma/9flm1wtv,,,,,,,
"27th February, Thursday",9:00am-5:00pm,Paradigm Coffeehouse @ ETHDenver,Paradigm,https://lu.ma/hrq8odoj,,,,,,,
"27th February, Thursday",9:00am-5:00pm,Code & Get Paid: Aleo Builder Workshop (Part 1 of 2),Aleo,https://lu.ma/Aleo_EthDenver,,,,,,,
"27th February, Thursday",9:30am-12:00pm,On-Chain B2B Payments Day: Brunch & Panel,Bitwave,https://lu.ma/tv3mm3o09,,,,,,,
"27th February, Thursday",9:30am-3:30pm,Intersubjective DeSci,AuraSci,https://lu.ma/InterDeSci,,,,,,,
"27th February, Thursday",10:00am-12:00pm,Bitcoin DeFi Breakfast hosted by Babylon,Babylon,https://lu.ma/mtejkgun,,,,,,,
"27th February, Thursday",10:00am-12:00pm,Founders & Builder's Brunch | Day 1 @ ETH Denver,Supermoon,https://lu.ma/7u1dac0y,,,,,,,
"27th February, Thursday",10:00am-1:00pm,Circle Dev Summit Denver: Build with Circle’s developer tooling,Circle,https://lu.ma/5v62p03x,,,,,,,
"27th February, Thursday",10:00am-1:00pm,"Ski Chalet Brunch - H.E.R. DAO, Crypto Girls Club, dev3pack","H.E.R. DAO, Crypto Girls Club",https://lu.ma/111ma08n,,,,,,,
"27th February, Thursday",10:00am-1:00pm,Founder Mastermind at ETHDenver,Airfoil,https://lu.ma/founder-masterm,,,,,,,
"27th February, Thursday",10:00am-3:00pm,DEAI Summit,Big Brain Holdings and Block,https://lu.ma/bjki4pj0,,,,,,,
"27th February, Thursday",10:00am-3:00pm,AI Agent Day @ ETHDenver,OG Labs and Aethir,https://lu.ma/aiagentday,,,,,,,
"27th February, Thursday",10:00am-5:00pm,"d/Infra Summit hosted by 1kx, Inco + Miden","1kx, Inco and Miden",https://lu.ma/bwb6wqil,,,,,,,
"27th February, Thursday",10:00am-6:30pm,Schelling Point: Denver,Gitcoin,https://lu.ma/qr9mbaqz,,,,,,,
"27th February, Thursday",10:00am-8:00pm,Make Bitcoin Money Again,Spark,https://lu.ma/74c6mkek,,,,,,,
"27th February, Thursday",10:30am-12:30pm,ETHDenver Coffee w/BanklessVC + Faction VC,BanklessVC and Faction,https://lu.ma/oigf7zfw,,,,,,,
"27th February, Thursday",10:30am-6:00pm,NEAR AI Agent Games Day,NEAR Horizon,https://lu.ma/NEARAgentGam,,,,,,,
"27th February, Thursday",10:30am-6:30pm,Solana Snapshot | ETHDenver 2025,Wrapped,https://lu.ma/solanasnapshot,,,,,,,
"27th February, Thursday",11:00am-2:00pm,ETHDenver Founders & Investors Brunch (invite only),fractl,https://lu.ma/fractl_ethden,,,,,,,
"27th February, Thursday",11:00am-3:30pm,DeSci Exposed!,Syde Events,https://lu.ma/desci.exposed,,,,,,,
"27th February, Thursday",11:00am-5:00pm,Morph Consumer Day @ETHDENVER,Morph,https://lu.ma/imprxkd9,,,,,,,
"27th February, Thursday",12:00pm-2:00pm,"VIP LUNCH - DNA House at ETH Denver, February 27th, 2025",DNA,https://lu.ma/nihk61bv,,,,,,,
"27th February, Thursday",12:00pm-3:00pm,Appchains Power Lunch | ETH Denver 2025,"Syndicate, Alchemy, EigenLayer",https://lu.ma/cumn73p5,,,,,,,
"27th February, Thursday",1:00pm-5:00pm,The Institutional Hour,Chainalysis,https://lu.ma/ou4tm347,,,,,,,
"27th February, Thursday",1:00pm-6:00pm,Composability Day ETHDenver,Espresso,https://lu.ma/o2446knk,,,,,,,
"27th February, Thursday",1:00pm-6:00pm,Borderless Summit - ETH vs. SOL: Bridge the Divide or Battle for Domination,SynFutures,https://lu.ma/borderless-denve,,,,,,,
"27th February, Thursday",1:00pm-6:00pm,The Protocol Services Summit by Messari,Messari,https://lu.ma/3wosvhzu,,,,,,,
"27th February, Thursday",2:00pm-5:00pm,Unified ETH Prix,Malda (formerly Mendi Finar),https://lu.ma/hhnw7tth,,,,,,,
"27th February, Thursday",2:00pm-5:00pm,EthDenver | Master KOL Marketing and Discord Growth [Web3 MegaChar],Lever and CommunityOne,https://lu.ma/0ti2505m,,,,,,,
